# RTVLAS Proof Log
frame=20 timestamp_ms=4000 verdict=Reject trust=0.800 causes=[Fireline Standoff Margin=Reject, Terrain and Smoke Clearance Margin=Reject, Divert / Dip Site Reachability=Reject, Mission App Recovery Readiness=Reject, Air-Ground Coordination Link=Reject]
frame=21 timestamp_ms=4200 verdict=Reject trust=0.600 causes=[Fireline Standoff Margin=Reject, Terrain and Smoke Clearance Margin=Reject, Divert / Dip Site Reachability=Reject, Mission App Recovery Readiness=Reject, Air-Ground Coordination Link=Reject]
frame=22 timestamp_ms=4400 verdict=Reject trust=0.400 causes=[Fireline Standoff Margin=Reject, Terrain and Smoke Clearance Margin=Reject, Divert / Dip Site Reachability=Reject, Mission App Recovery Readiness=Reject, Air-Ground Coordination Link=Reject]
frame=23 timestamp_ms=4600 verdict=Reject trust=0.200 causes=[Fireline Standoff Margin=Reject, Terrain and Smoke Clearance Margin=Reject, Divert / Dip Site Reachability=Reject, Mission App Recovery Readiness=Reject, Air-Ground Coordination Link=Reject]
frame=24 timestamp_ms=4800 verdict=Reject trust=0.000 causes=[Fireline Standoff Margin=Reject, Terrain and Smoke Clearance Margin=Reject, Divert / Dip Site Reachability=Reject, Mission App Recovery Readiness=Reject, Air-Ground Coordination Link=Reject]
frame=25 timestamp_ms=5000 verdict=Reject trust=0.000 causes=[Fireline Standoff Margin=Reject, Terrain and Smoke Clearance Margin=Reject, Divert / Dip Site Reachability=Reject, Mission App Recovery Readiness=Reject, Air-Ground Coordination Link=Reject]
frame=26 timestamp_ms=5200 verdict=Reject trust=0.000 causes=[Fireline Standoff Margin=Reject, Terrain and Smoke Clearance Margin=Reject, Divert / Dip Site Reachability=Reject, Mission App Recovery Readiness=Reject, Air-Ground Coordination Link=Reject]
frame=27 timestamp_ms=5400 verdict=Reject trust=0.000 causes=[Fireline Standoff Margin=Reject, Terrain and Smoke Clearance Margin=Reject, Divert / Dip Site Reachability=Reject, Mission App Recovery Readiness=Reject, Air-Ground Coordination Link=Reject]
frame=28 timestamp_ms=5600 verdict=Reject trust=0.000 causes=[Fireline Standoff Margin=Reject, Terrain and Smoke Clearance Margin=Reject, Divert / Dip Site Reachability=Reject, Mission App Recovery Readiness=Reject, Air-Ground Coordination Link=Reject]
frame=29 timestamp_ms=5800 verdict=Reject trust=0.000 causes=[Fireline Standoff Margin=Reject, Terrain and Smoke Clearance Margin=Reject, Divert / Dip Site Reachability=Reject, Mission App Recovery Readiness=Reject, Air-Ground Coordination Link=Reject]
frame=30 timestamp_ms=6000 verdict=Reject trust=0.000 causes=[Fireline Standoff Margin=Reject, Terrain and Smoke Clearance Margin=Reject, Divert / Dip Site Reachability=Reject, Mission App Recovery Readiness=Reject, Air-Ground Coordination Link=Reject]
frame=31 timestamp_ms=6200 verdict=Reject trust=0.000 causes=[Fireline Standoff Margin=Reject, Terrain and Smoke Clearance Margin=Reject, Divert / Dip Site Reachability=Reject, Mission App Recovery Readiness=Reject, Air-Ground Coordination Link=Reject]
frame=32 timestamp_ms=6400 verdict=Reject trust=0.000 causes=[Fireline Standoff Margin=Reject, Terrain and Smoke Clearance Margin=Reject, Divert / Dip Site Reachability=Reject, Mission App Recovery Readiness=Reject, Air-Ground Coordination Link=Reject]
frame=33 timestamp_ms=6600 verdict=Reject trust=0.000 causes=[Fireline Standoff Margin=Reject, Terrain and Smoke Clearance Margin=Reject, Divert / Dip Site Reachability=Reject, Mission App Recovery Readiness=Reject, Air-Ground Coordination Link=Reject]
frame=34 timestamp_ms=6800 verdict=Reject trust=0.000 causes=[Fireline Standoff Margin=Reject, Terrain and Smoke Clearance Margin=Reject, Divert / Dip Site Reachability=Reject, Mission App Recovery Readiness=Reject, Air-Ground Coordination Link=Reject]
frame=35 timestamp_ms=7000 verdict=Reject trust=0.000 causes=[Fireline Standoff Margin=Reject, Terrain and Smoke Clearance Margin=Reject, Divert / Dip Site Reachability=Reject, Mission App Recovery Readiness=Reject, Air-Ground Coordination Link=Reject]
frame=36 timestamp_ms=7200 verdict=Reject trust=0.000 causes=[Fireline Standoff Margin=Reject, Terrain and Smoke Clearance Margin=Reject, Divert / Dip Site Reachability=Reject, Mission App Recovery Readiness=Reject, Air-Ground Coordination Link=Reject]
frame=37 timestamp_ms=7400 verdict=Reject trust=0.000 causes=[Fireline Standoff Margin=Reject, Terrain and Smoke Clearance Margin=Reject, Divert / Dip Site Reachability=Reject, Mission App Recovery Readiness=Reject, Air-Ground Coordination Link=Reject]
frame=38 timestamp_ms=7600 verdict=Reject trust=0.000 causes=[Fireline Standoff Margin=Reject, Terrain and Smoke Clearance Margin=Reject, Divert / Dip Site Reachability=Reject, Mission App Recovery Readiness=Reject, Air-Ground Coordination Link=Reject]
frame=39 timestamp_ms=7800 verdict=Reject trust=0.000 causes=[Fireline Standoff Margin=Reject, Terrain and Smoke Clearance Margin=Reject, Divert / Dip Site Reachability=Reject, Mission App Recovery Readiness=Reject, Air-Ground Coordination Link=Reject]
frame=40 timestamp_ms=8000 verdict=Reject trust=0.000 causes=[Fireline Standoff Margin=Reject, Terrain and Smoke Clearance Margin=Reject, Divert / Dip Site Reachability=Reject, Mission App Recovery Readiness=Reject, Air-Ground Coordination Link=Reject]
frame=41 timestamp_ms=8200 verdict=Reject trust=0.000 causes=[Fireline Standoff Margin=Reject, Terrain and Smoke Clearance Margin=Reject, Divert / Dip Site Reachability=Reject, Mission App Recovery Readiness=Reject, Air-Ground Coordination Link=Reject]
frame=42 timestamp_ms=8400 verdict=Reject trust=0.000 causes=[Fireline Standoff Margin=Reject, Terrain and Smoke Clearance Margin=Reject, Divert / Dip Site Reachability=Reject, Mission App Recovery Readiness=Reject, Air-Ground Coordination Link=Reject]
frame=43 timestamp_ms=8600 verdict=Reject trust=0.000 causes=[Fireline Standoff Margin=Reject, Terrain and Smoke Clearance Margin=Reject, Divert / Dip Site Reachability=Reject, Mission App Recovery Readiness=Reject, Air-Ground Coordination Link=Reject]
frame=44 timestamp_ms=8800 verdict=Reject trust=0.000 causes=[Fireline Standoff Margin=Reject, Terrain and Smoke Clearance Margin=Reject, Divert / Dip Site Reachability=Reject, Mission App Recovery Readiness=Reject, Air-Ground Coordination Link=Reject]
frame=45 timestamp_ms=9000 verdict=Reject trust=0.000 causes=[Fireline Standoff Margin=Reject, Terrain and Smoke Clearance Margin=Reject, Divert / Dip Site Reachability=Reject, Mission App Recovery Readiness=Reject, Air-Ground Coordination Link=Reject]
